what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409644266502
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1409644266590
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1409644268045
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1409644268202
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1409644269602
error,log,,,"Core exception while retrieving the content description",1409644269727
error,log,,,"Core exception while retrieving the content description",1409644269729
error,log,,,"Core exception while retrieving the content description",1409644269740
error,log,,,"Core exception while retrieving the content description",1409644269742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409644269802
error,log,,,"Core exception while retrieving the content description",1409644269831
error,log,,,"Core exception while retrieving the content description",1409644269833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409644271510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409644271593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409644275076
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1409644275147
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1409644280481
error,log,,,"Core exception while retrieving the content description",1409644280633
error,log,,,"Core exception while retrieving the content description",1409644280634
error,log,,,"Core exception while retrieving the content description",1409644280645
error,log,,,"Core exception while retrieving the content description",1409644280647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409644280691
error,log,,,"Core exception while retrieving the content description",1409644280738
error,log,,,"Core exception while retrieving the content description",1409644280740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409644282758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409644282858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409644286479
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1409644286564
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1409644290125
error,log,,,"Core exception while retrieving the content description",1409644290285
error,log,,,"Core exception while retrieving the content description",1409644290287
error,log,,,"Core exception while retrieving the content description",1409644290300
error,log,,,"Core exception while retrieving the content description",1409644290301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409644290358
error,log,,,"Core exception while retrieving the content description",1409644290398
error,log,,,"Core exception while retrieving the content description",1409644290400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409644292043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409644292135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409644295012
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1409644295106
error,log,,,"Core exception while retrieving the content description",1409644295235
error,log,,,"Core exception while retrieving the content description",1409644295236
error,log,,,"Core exception while retrieving the content description",1409644295238
error,log,,,"Core exception while retrieving the content description",1409644295239
error,log,,,"Core exception while retrieving the content description",1409644295240
error,log,,,"Core exception while retrieving the content description",1409644295241
error,log,,,"Core exception while retrieving the content description",1409644295243
error,log,,,"Core exception while retrieving the content description",1409644295244
error,log,,,"Core exception while retrieving the content description",1409644295245
error,log,,,"Core exception while retrieving the content description",1409644295246
error,log,,,"Core exception while retrieving the content description",1409644295248
error,log,,,"Core exception while retrieving the content description",1409644295249
error,log,,,"Core exception while retrieving the content description",1409644295250
error,log,,,"Core exception while retrieving the content description",1409644295251
error,log,,,"Core exception while retrieving the content description",1409644295256
error,log,,,"Core exception while retrieving the content description",1409644295258
error,log,,,"Core exception while retrieving the content description",1409644295259
error,log,,,"Core exception while retrieving the content description",1409644295261
error,log,,,"Core exception while retrieving the content description",1409644295262
