what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1373287320143
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1373287322693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373287327255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373287330494
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1373287330510
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1373287330551
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1373287330587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373287330664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373287332451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373287337037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373287338814
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1373287342839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373287347719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373287365519
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1373287368628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373287372744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373287375596
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1373287375611
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1373287375655
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1373287375682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373287376456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373287380949
